Kuupäev,Hind,Garderoob-Radiaator,Köök-Nõudepesumasin,Magamis-Radiaator,Paul-Kontor,Paul-Radiaator,Saal-Patareid
2023-08-12 04:00:00+03:00,94.67,sees,väljas,sees,sees,sees,väljas
2023-08-12 05:00:00+03:00,93.91,sees,väljas,sees,sees,sees,väljas
2023-08-12 06:00:00+03:00,89.75,sees,väljas,sees,sees,sees,väljas
2023-08-12 07:00:00+03:00,88.59,sees,väljas,sees,sees,sees,väljas
2023-08-12 08:00:00+03:00,53.01,sees,väljas,sees,sees,sees,väljas
2023-08-12 09:00:00+03:00,48.06,sees,väljas,sees,sees,sees,väljas
2023-08-12 10:00:00+03:00,44.23,sees,väljas,sees,sees,sees,väljas
2023-08-12 11:00:00+03:00,25.73,sees,väljas,sees,sees,sees,väljas
2023-08-12 12:00:00+03:00,22.72,sees,väljas,sees,sees,sees,väljas
2023-08-12 13:00:00+03:00,17.99,sees,väljas,sees,sees,sees,väljas
2023-08-12 14:00:00+03:00,10.11,sees,väljas,sees,sees,sees,väljas
2023-08-12 15:00:00+03:00,10.02,sees,sees,sees,sees,sees,sees
2023-08-12 16:00:00+03:00,10.04,sees,sees,sees,sees,sees,väljas
2023-08-12 17:00:00+03:00,20.4,sees,väljas,sees,sees,sees,väljas
2023-08-12 18:00:00+03:00,67.58,sees,väljas,sees,sees,sees,väljas
2023-08-12 19:00:00+03:00,92.53,sees,väljas,sees,sees,sees,väljas
2023-08-12 20:00:00+03:00,106.47,sees,väljas,sees,sees,sees,väljas
2023-08-12 21:00:00+03:00,111.16,sees,väljas,sees,sees,sees,väljas
2023-08-12 22:00:00+03:00,112.28,sees,väljas,sees,sees,sees,väljas
2023-08-12 23:00:00+03:00,107.53,sees,väljas,sees,sees,sees,väljas
2023-08-13 00:00:00+03:00,97.99,sees,väljas,sees,sees,sees,väljas
2023-08-13 00:00:00+03:00,97.99,sees,väljas,sees,sees,sees,väljas
2023-08-13 01:00:00+03:00,90.1,sees,väljas,sees,sees,sees,väljas
2023-08-13 02:00:00+03:00,82.83,sees,väljas,sees,sees,sees,väljas
2023-08-13 03:00:00+03:00,40.0,sees,väljas,sees,sees,sees,väljas
2023-08-13 04:00:00+03:00,11.24,sees,väljas,sees,sees,sees,väljas
2023-08-13 05:00:00+03:00,11.81,sees,väljas,sees,sees,sees,väljas
2023-08-13 06:00:00+03:00,40.01,sees,väljas,sees,sees,sees,väljas
2023-08-13 07:00:00+03:00,73.13,väljas,väljas,väljas,väljas,väljas,väljas
2023-08-13 08:00:00+03:00,14.73,sees,väljas,sees,sees,sees,väljas
2023-08-13 09:00:00+03:00,35.0,sees,väljas,sees,sees,sees,väljas
2023-08-13 10:00:00+03:00,17.01,sees,väljas,sees,sees,sees,väljas
2023-08-13 11:00:00+03:00,15.8,sees,väljas,sees,sees,sees,väljas
2023-08-13 12:00:00+03:00,13.79,sees,väljas,sees,sees,sees,väljas
2023-08-13 13:00:00+03:00,6.01,sees,väljas,sees,sees,sees,väljas
2023-08-13 14:00:00+03:00,1.1,sees,sees,sees,sees,sees,sees
2023-08-13 15:00:00+03:00,1.51,sees,sees,sees,sees,sees,väljas
2023-08-13 16:00:00+03:00,6.92,sees,väljas,sees,sees,sees,väljas
2023-08-13 17:00:00+03:00,17.28,sees,väljas,sees,sees,sees,väljas
2023-08-13 18:00:00+03:00,72.67,sees,väljas,sees,sees,sees,väljas
2023-08-13 19:00:00+03:00,99.2,sees,väljas,sees,sees,sees,väljas
2023-08-13 20:00:00+03:00,107.36,sees,väljas,sees,sees,sees,väljas
2023-08-13 21:00:00+03:00,115.61,sees,väljas,sees,sees,sees,väljas
2023-08-13 22:00:00+03:00,120.0,sees,väljas,sees,sees,sees,väljas
2023-08-13 23:00:00+03:00,100.09,sees,väljas,sees,sees,sees,väljas
2023-08-14 00:00:00+03:00,104.91,sees,väljas,sees,sees,sees,väljas
2023-08-14 00:00:00+03:00,104.91,sees,väljas,sees,sees,sees,väljas
2023-08-14 01:00:00+03:00,80.0,sees,väljas,sees,sees,sees,väljas
2023-08-14 02:00:00+03:00,14.6,sees,väljas,sees,sees,sees,väljas
